3,3,255,0,0
3,4,255,0,0
3,5,255,0,0
3,6,255,0,0
3,7,255,0,0
3,8,255,0,0
3,16,255,0,0
3,17,255,0,0
3,18,255,0,0
3,24,255,0,0
3,30,255,0,0
3,34,255,0,0
3,35,255,0,0
3,36,255,0,0
3,37,255,0,0
3,38,255,0,0
3,39,255,0,0
3,40,255,0,0
4,3,255,0,0
4,9,255,0,0
4,14,255,0,0
4,15,255,0,0
4,19,255,0,0
4,24,255,0,0
4,25,255,0,0
4,30,255,0,0
4,34,255,0,0
5,3,255,0,0
5,9,255,0,0
5,14,255,0,0
5,19,255,0,0
5,24,255,0,0
5,25,255,0,0
5,30,255,0,0
5,34,255,0,0
6,3,255,0,0
6,9,255,0,0
6,13,255,0,0
6,20,255,0,0
6,24,255,0,0
6,26,255,0,0
6,30,255,0,0
6,34,255,0,0
7,3,255,0,0
7,9,255,0,0
7,13,255,0,0
7,20,255,0,0
7,24,255,0,0
7,27,255,0,0
7,30,255,0,0
7,34,255,0,0
7,35,255,0,0
7,36,255,0,0
7,37,255,0,0
7,38,255,0,0
8,3,255,0,0
8,4,255,0,0
8,5,255,0,0
8,6,255,0,0
8,7,255,0,0
8,8,255,0,0
8,13,255,0,0
8,20,255,0,0
8,24,255,0,0
8,27,255,0,0
8,30,255,0,0
8,34,255,0,0
9,3,255,0,0
9,7,255,0,0
9,13,255,0,0
9,20,255,0,0
9,24,255,0,0
9,28,255,0,0
9,30,255,0,0
9,34,255,0,0
10,3,255,0,0
10,7,255,0,0
10,13,255,0,0
10,20,255,0,0
10,24,255,0,0
10,29,255,0,0
10,30,255,0,0
10,34,255,0,0
11,3,255,0,0
11,8,255,0,0
11,14,255,0,0
11,15,255,0,0
11,19,255,0,0
11,24,255,0,0
11,29,255,0,0
11,30,255,0,0
11,34,255,0,0
12,3,255,0,0
12,9,255,0,0
12,16,255,0,0
12,17,255,0,0
12,18,255,0,0
12,24,255,0,0
12,30,255,0,0
12,34,255,0,0
12,35,255,0,0
12,36,255,0,0
12,37,255,0,0
12,38,255,0,0
12,39,255,0,0
12,40,255,0,0
